Tytuł,Firma,Data opublikowania,Wynagrodzenie,Technologie,Link
Programista C#,Aura Technologies Sp. z o.o,2025-01-06,Brak wynagrodzenia,"['C#', 'SQL']","https://www.pracuj.pl/praca/programista-c%23-warszawa-aleje-jerozolimskie-181b,oferta,1003783771?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Techniczny Analityk Biznesowy,Acturis Poland Sp. z o.o.,2025-01-06,Brak wynagrodzenia,['SQL'],"https://www.pracuj.pl/praca/techniczny-analityk-biznesowy-wroclaw-legnicka-48f,oferta,1003783691?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Młodszy Analityk ds. Jakości/Tester Oprogramowania,Acturis Poland Sp. z o.o.,2025-01-06,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/mlodszy-analityk-ds-jakosci-tester-oprogramowania-wroclaw-legnicka-48f,oferta,1003783692?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Brak tytułu,Accenture Technology,2025-01-06,Brak wynagrodzenia,"['AWS', 'Oracle']",Brak linku
Network Internship Program (She/He/They),Accenture Technology,2025-01-06,Brak wynagrodzenia,"['Google Cloud Platform', 'AWS', 'Oracle']","https://www.pracuj.pl/praca/network-internship-program-she-he-they-warszawa,oferta,1003804138?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Junior Protocol Test Engineer,Samsung R&D Institute Poland,2025-01-06,Brak wynagrodzenia,['LTE/5G'],"https://www.pracuj.pl/praca/junior-protocol-test-engineer-warszawa-plac-europejski-1,oferta,1003813614?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Brak tytułu,TU EUROPA SA,2025-01-06,Brak wynagrodzenia,Brak technologii,Brak linku
Junior C++ Developer,SQUARE ONE RESOURCES sp. z o.o.,2025-01-06,75–90 zł netto (+ VAT) / godz.,"['C++', 'AUTOSAR']","https://www.pracuj.pl/praca/junior-c%2b%2b-developer-warszawa-pulawska-2,oferta,1003801295?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Reference Data Services Analyst,Citi Poland,2025-01-06,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/reference-data-services-analyst-warszawa,oferta,1003813332?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Płatny Staż w zespole Converter Queueing Engine (CQE),Robert Bosch Sp. z o.o.,2025-01-06,Brak wynagrodzenia,"['C++', 'Python']","https://www.pracuj.pl/praca/platny-staz-w-zespole-converter-queueing-engine-cqe-warszawa-jutrzenki-105,oferta,1003803899?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Młodszy Informatyk,Bank Pocztowy S.A.,2025-01-06,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/mlodszy-informatyk-bydgoszcz-jagiellonska-17,oferta,1003778977?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
SAP WM Consultant,Arvato,2025-01-06,Brak wynagrodzenia,['SAP S/4 HANA'],"https://www.pracuj.pl/praca/sap-wm-consultant-poznan-wierzbiecice-1b,oferta,1003778967?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Brak tytułu,Asseco Poland S.A.,2025-01-06,Brak wynagrodzenia,"['Kubernetes', 'CI/CD', 'Linux']",Brak linku
Brak tytułu,STERNEL sp. z o.o.,2025-01-06,Brak wynagrodzenia,"['C', 'C#', 'C++']",Brak linku
IT Business Analyst - Private Capital,BNP Paribas S.A. Branch Poland,2025-01-06,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/it-business-analyst-private-capital-krakow,oferta,1003803636?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Młodszy specjalista ds. wsparcia systemowego,Maspex,2025-01-06,Brak wynagrodzenia,['SAP'],"https://www.pracuj.pl/praca/mlodszy-specjalista-ds-wsparcia-systemowego-wadowice-fryderyka-chopina-10,oferta,1003782791?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
(Junior) Process Architect – Employee Lifecycle Management Competence Center,Lufthansa Group Business Services Sp. z o.o.,2025-01-06,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/junior-process-architect-employee-lifecycle-management-competence-center-krakow-wadowicka-3b,oferta,1003803556?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
SOC Analyst,ZOOLA TECH POLAND sp. z o.o.,2025-01-06,Brak wynagrodzenia,"['New Relic', 'Splunk', 'Jira', 'Confluence', 'Slack', 'PagerDuty', 'ServiceNow']","https://www.pracuj.pl/praca/soc-analyst-wroclaw-mosiezna-23,oferta,1003809817?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
CFO/RISK – ICH Europe Internship Program (She/He/They),Accenture Intelligent Consulting Hub Europe,2025-01-06,Brak wynagrodzenia,['Mathematics'],"https://www.pracuj.pl/praca/cfo-risk-ich-europe-internship-program-she-he-they-warszawa,oferta,1003790210?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Specjalista ds. inwentaryzacji,APART Sp. z o.o.,2025-01-06,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/specjalista-ds-inwentaryzacji-suchy-las-pow-poznanski,oferta,1003812197?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Programista/-ka,Wielkopolska Akademia Nauki i Rozwoju Sp. z o.o. Sp.k.,2025-01-06,Brak wynagrodzenia,"['TypeScript', 'JavaScript', 'Node.js', 'Python', 'Flask']","https://www.pracuj.pl/praca/programista-ka-poznan-grochowska-35,oferta,1003805639?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Wdrożeniowiec systemów informatycznych,REKORD SI Sp. z o.o.,2025-01-06,Brak wynagrodzenia,"['SQL', 'PostgreSQL', 'Firebird']","https://www.pracuj.pl/praca/wdrozeniowiec-systemow-informatycznych-bielsko-biala-jana-kasprowicza-5,oferta,1003782338?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Junior UI Developer,Acturis Poland Sp. z o.o.,2025-01-06,Brak wynagrodzenia,"['HTML', 'CSS', 'Java']","https://www.pracuj.pl/praca/junior-ui-developer-wroclaw-legnicka-48f,oferta,1003800103?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Junior DevOps Engineer (with German),Rite NRG sp. z o.o.,2025-01-06,14 000–21 840,"['SQL', 'Apache Tomcat', 'Python', 'PowerShell', 'Bash', 'Windows', 'Windows Server', 'Office', 'Linux']","https://www.pracuj.pl/praca/junior-devops-engineer-with-german-wroclaw-ksawerego-liskego-7,oferta,1003792091?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Junior Support Engineer - Tax Technology,KPMG,2025-01-06,Brak wynagrodzenia,['Azure'],"https://www.pracuj.pl/praca/junior-support-engineer-tax-technology-warszawa-inflancka-4a,oferta,1003792040?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Brak tytułu,Atinea Sp. z o.o.,2025-01-06,Brak wynagrodzenia,"['C', 'C++', 'Python']",Brak linku
Junior Finance Systems Analyst (Dentons Business Services EMEA),Dentons Business Services EMEA,2025-01-06,Brak wynagrodzenia,"['T-SQL', 'SQL']","https://www.pracuj.pl/praca/junior-finance-systems-analyst-dentons-business-services-emea-warszawa-aleja-jana-pawla-ii-27,oferta,1003805186?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Internship – TV Apps and Services Intern,Samsung R&D Institute Poland,2025-01-06,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/internship-tv-apps-and-services-intern-warszawa-plac-europejski-1,oferta,1003777583?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Administrator systemów IT,Consdata S.A.,2025-01-06,Brak wynagrodzenia,"['LAN/WAN', 'TCP/IP', 'Ubuntu']","https://www.pracuj.pl/praca/administrator-systemow-it-poznan,oferta,1003801801?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Systems Engineer,Merit Poland Sp z o. o.,2025-01-06,Brak wynagrodzenia,"['LIN', 'CAN', 'UDS']","https://www.pracuj.pl/praca/systems-engineer-krakow-podole-60,oferta,1003799347?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Stanowisko ds. HelpDesk,CENTRUM INFORMATYKI RESORTU FINANSÓW,2025-01-06,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/stanowisko-ds-helpdesk-otwock-jana-matejki-4,oferta,1003777239?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Konsultant finansowy z MS Dynamics 365 F&O,ASTEK Polska,2025-01-06,Brak wynagrodzenia,"['Microsoft Dynamics', 'AX 2012', 'Dynamics 365 F&O']","https://www.pracuj.pl/praca/konsultant-finansowy-z-ms-dynamics-365-f-o-warszawa-aleja-jana-pawla-ii-22,oferta,1003804894?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
